Indicator_data,case_id,First Tooltip
Healthy life expectancy (HALE) at birth (years),"Afghanistan,2019,Both sexes",53.95
Healthy life expectancy (HALE) at birth (years),"Afghanistan,2019,Male",54.73
Healthy life expectancy (HALE) at birth (years),"Afghanistan,2019,Female",53.15
Healthy life expectancy (HALE) at birth (years),"Afghanistan,2015,Both sexes",52.6
Healthy life expectancy (HALE) at birth (years),"Afghanistan,2015,Male",52.78
Healthy life expectancy (HALE) at birth (years),"Afghanistan,2015,Female",52.44
Healthy life expectancy (HALE) at birth (years),"Afghanistan,2010,Both sexes",51.13
Healthy life expectancy (HALE) at birth (years),"Afghanistan,2010,Male",51.51
Healthy life expectancy (HALE) at birth (years),"Afghanistan,2010,Female",50.75
Healthy life expectancy (HALE) at birth (years),"Afghanistan,2000,Both sexes",46.76
Healthy life expectancy (HALE) at birth (years),"Afghanistan,2000,Male",46.93
Healthy life expectancy (HALE) at birth (years),"Afghanistan,2000,Female",46.58
Healthy life expectancy (HALE) at birth (years),"Albania,2019,Both sexes",69.08
Healthy life expectancy (HALE) at birth (years),"Albania,2019,Male",68
Healthy life expectancy (HALE) at birth (years),"Albania,2019,Female",70.25
Healthy life expectancy (HALE) at birth (years),"Albania,2015,Both sexes",69.03
Healthy life expectancy (HALE) at birth (years),"Albania,2015,Male",67.99
Healthy life expectancy (HALE) at birth (years),"Albania,2015,Female",70.12
Healthy life expectancy (HALE) at birth (years),"Albania,2010,Both sexes",67.57
Healthy life expectancy (HALE) at birth (years),"Albania,2010,Male",66.34
Healthy life expectancy (HALE) at birth (years),"Albania,2010,Female",68.85
Healthy life expectancy (HALE) at birth (years),"Albania,2000,Both sexes",65.24
Healthy life expectancy (HALE) at birth (years),"Albania,2000,Male",63.15
Healthy life expectancy (HALE) at birth (years),"Albania,2000,Female",67.69
Healthy life expectancy (HALE) at birth (years),"Algeria,2019,Both sexes",66.39
Healthy life expectancy (HALE) at birth (years),"Algeria,2019,Male",66.72
Healthy life expectancy (HALE) at birth (years),"Algeria,2019,Female",66.08
Healthy life expectancy (HALE) at birth (years),"Algeria,2015,Both sexes",65.99
Healthy life expectancy (HALE) at birth (years),"Algeria,2015,Male",66.33
Healthy life expectancy (HALE) at birth (years),"Algeria,2015,Female",65.67
Healthy life expectancy (HALE) at birth (years),"Algeria,2010,Both sexes",65.53
Healthy life expectancy (HALE) at birth (years),"Algeria,2010,Male",65.85
Healthy life expectancy (HALE) at birth (years),"Algeria,2010,Female",65.22
Healthy life expectancy (HALE) at birth (years),"Algeria,2000,Both sexes",62.71
Healthy life expectancy (HALE) at birth (years),"Algeria,2000,Male",62.63
Healthy life expectancy (HALE) at birth (years),"Algeria,2000,Female",62.8
Healthy life expectancy (HALE) at birth (years),"Angola,2019,Both sexes",54.84
Healthy life expectancy (HALE) at birth (years),"Angola,2019,Male",53.55
Healthy life expectancy (HALE) at birth (years),"Angola,2019,Female",56.21
Healthy life expectancy (HALE) at birth (years),"Angola,2015,Both sexes",53.66
Healthy life expectancy (HALE) at birth (years),"Angola,2015,Male",52.18
Healthy life expectancy (HALE) at birth (years),"Angola,2015,Female",55.28
Healthy life expectancy (HALE) at birth (years),"Angola,2010,Both sexes",50.57
Healthy life expectancy (HALE) at birth (years),"Angola,2010,Male",49.27
Healthy life expectancy (HALE) at birth (years),"Angola,2010,Female",51.97
Healthy life expectancy (HALE) at birth (years),"Angola,2000,Both sexes",42.87
Healthy life expectancy (HALE) at birth (years),"Angola,2000,Male",41.18
Healthy life expectancy (HALE) at birth (years),"Angola,2000,Female",44.74
Healthy life expectancy (HALE) at birth (years),"Antigua and Barbuda,2019,Both sexes",66.97
Healthy life expectancy (HALE) at birth (years),"Antigua and Barbuda,2019,Male",66.25
Healthy life expectancy (HALE) at birth (years),"Antigua and Barbuda,2019,Female",67.69
Healthy life expectancy (HALE) at birth (years),"Antigua and Barbuda,2015,Both sexes",66.81
Healthy life expectancy (HALE) at birth (years),"Antigua and Barbuda,2015,Male",65.94
Healthy life expectancy (HALE) at birth (years),"Antigua and Barbuda,2015,Female",67.66
Healthy life expectancy (HALE) at birth (years),"Antigua and Barbuda,2010,Both sexes",66.7
Healthy life expectancy (HALE) at birth (years),"Antigua and Barbuda,2010,Male",65.28
Healthy life expectancy (HALE) at birth (years),"Antigua and Barbuda,2010,Female",68.09
Healthy life expectancy (HALE) at birth (years),"Antigua and Barbuda,2000,Both sexes",65.53
Healthy life expectancy (HALE) at birth (years),"Antigua and Barbuda,2000,Male",63.93
Healthy life expectancy (HALE) at birth (years),"Antigua and Barbuda,2000,Female",67.04
Healthy life expectancy (HALE) at birth (years),"Argentina,2019,Both sexes",67.13
Healthy life expectancy (HALE) at birth (years),"Argentina,2019,Male",65.4
Healthy life expectancy (HALE) at birth (years),"Argentina,2019,Female",68.77
Healthy life expectancy (HALE) at birth (years),"Argentina,2015,Both sexes",66.86
Healthy life expectancy (HALE) at birth (years),"Argentina,2015,Male",64.94
Healthy life expectancy (HALE) at birth (years),"Argentina,2015,Female",68.7
Healthy life expectancy (HALE) at birth (years),"Argentina,2010,Both sexes",66.3
Healthy life expectancy (HALE) at birth (years),"Argentina,2010,Male",64.37
Healthy life expectancy (HALE) at birth (years),"Argentina,2010,Female",68.17
Healthy life expectancy (HALE) at birth (years),"Argentina,2000,Both sexes",65.14
Healthy life expectancy (HALE) at birth (years),"Argentina,2000,Male",62.83
Healthy life expectancy (HALE) at birth (years),"Argentina,2000,Female",67.46
Healthy life expectancy (HALE) at birth (years),"Armenia,2019,Both sexes",67.12
