diseases,Indicator_data,CASE_ID,First Tooltip,range_low,range_high
Total,Ambient and household air pollution attributable death rate (per 100 000 population),"Afghanistan,2016,Both sexes",95.12,85.12,104.3
Total,Ambient and household air pollution attributable death rate (per 100 000 population),"Afghanistan,2016,Male",95.58,85.5,106
Total,Ambient and household air pollution attributable death rate (per 100 000 population),"Afghanistan,2016,Female",94.63,84.55,103.9
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Afghanistan,2016,Both sexes",31.26,25.66,35.67
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Afghanistan,2016,Male",29.37,24.07,33.6
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Afghanistan,2016,Female",33.27,27.28,37.85
"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),"Afghanistan,2016,Both sexes",1.61,1.21,1.96
"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),"Afghanistan,2016,Male",2.24,1.63,2.76
"Trachea, bronchus, lung cancers",Ambient and household air pollution attributable death rate (per 100 000 population),"Afghanistan,2016,Female",0.95,0.74,1.12
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Afghanistan,2016,Both sexes",38.51,33.12,43.65
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Afghanistan,2016,Male",42.23,36.15,48.34
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Afghanistan,2016,Female",34.56,29.91,39.24
Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),"Afghanistan,2016,Both sexes",15.75,13.48,18.04
Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),"Afghanistan,2016,Male",14.02,11.94,16.23
Stroke,Ambient and household air pollution attributable death rate (per 100 000 population),"Afghanistan,2016,Female",17.6,15.08,20.16
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Afghanistan,2016,Both sexes",6.97,5.33,8.39
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Afghanistan,2016,Male",6.79,4.13,8.97
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Afghanistan,2016,Female",7.17,5.71,8.35
Total,Ambient and household air pollution attributable death rate (per 100 000 population),"Albania,2016,Both sexes",104.7,70.26,147.3
Total,Ambient and household air pollution attributable death rate (per 100 000 population),"Albania,2016,Male",117.6,80.81,164.3
Total,Ambient and household air pollution attributable death rate (per 100 000 population),"Albania,2016,Female",91.59,60.07,131.1
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Albania,2016,Both sexes",5.03,2.99,7.46
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Albania,2016,Male",5.54,3.28,8.24
