diseases,Indicator_data,CASE_ID,First Tooltip,range_low,range_high
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Afghanistan,2016,Both sexes",38.51,33.12,43.65
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Afghanistan,2016,Male",42.23,36.15,48.34
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Afghanistan,2016,Female",34.56,29.91,39.24
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Albania,2016,Both sexes",51.13,33.86,70.75
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Albania,2016,Male",59.3,40.43,81.56
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Albania,2016,Female",42.79,27.16,60.96
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Algeria,2016,Both sexes",21.99,16.31,36.56
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Algeria,2016,Male",23.54,17.7,38.21
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Algeria,2016,Female",20.41,14.69,34.88
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Angola,2016,Both sexes",10.54,8.95,12.21
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Angola,2016,Male",10.47,8.92,12.12
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Angola,2016,Female",10.62,8.86,12.38
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Antigua and Barbuda,2016,Both sexes",13.28,9.93,16.52
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Antigua and Barbuda,2016,Male",15.38,11.95,18.65
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Antigua and Barbuda,2016,Female",11.34,8.16,14.35
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Argentina,2016,Both sexes",13.22,9.26,17.49
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Argentina,2016,Male",14.63,10.93,18.32
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Argentina,2016,Female",11.87,7.66,16.72
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Armenia,2016,Both sexes",49.88,36.47,64.93
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Armenia,2016,Male",55.67,43.29,69.24
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Armenia,2016,Female",44.73,30.63,62.82
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Australia,2016,Both sexes",8.1,4.82,12.02
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Australia,2016,Male",9.19,5.97,12.73
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Australia,2016,Female",7.02,3.53,11.45
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Austria,2016,Both sexes",23.61,14.86,33.19
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Austria,2016,Male",23.69,16.43,31.24
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Austria,2016,Female",23.53,13.12,35.66
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Azerbaijan,2016,Both sexes",37.73,28.61,49.29
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Azerbaijan,2016,Male",42.27,33.1,54.72
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Azerbaijan,2016,Female",33.22,23.92,45.04
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahamas,2016,Both sexes",10.93,8.44,13.29
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahamas,2016,Male",12.91,10.34,15.28
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahamas,2016,Female",9.04,6.54,11.51
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahrain,2016,Both sexes",9.16,7.84,10.54
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahrain,2016,Male",9.72,8.43,11.07
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahrain,2016,Female",8.25,6.8,9.72
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bangladesh,2016,Both sexes",31.24,27.54,35.18
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bangladesh,2016,Male",35.47,31.22,40.1
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bangladesh,2016,Female",26.94,23.53,30.3
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Barbados,2016,Both sexes",18.33,13.55,23.01
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Barbados,2016,Male",19.97,15.41,24.38
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Barbados,2016,Female",16.82,11.77,21.94
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Belarus,2016,Both sexes",82.97,60.93,109.4
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Belarus,2016,Male",88.36,68.53,110.7
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Belarus,2016,Female",78.27,51.67,108.8
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Belgium,2016,Both sexes",14.65,9.49,20.28
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Belgium,2016,Male",15.67,10.95,20.42
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Belgium,2016,Female",13.66,7.8,20.41
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Belize,2016,Both sexes",14.15,11.09,17.12
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Belize,2016,Male",17.3,13.64,20.91
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Belize,2016,Female",11.03,8.56,13.52
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Benin,2016,Both sexes",21.56,19.08,24.1
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Benin,2016,Male",21.26,18.84,23.77
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Benin,2016,Female",21.86,19.02,24.52
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bhutan,2016,Both sexes",36.55,27.51,45.3
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bhutan,2016,Male",38.9,29.48,48.34
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bhutan,2016,Female",33.9,25.3,42.09
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bolivia (Plurinational State of),2016,Both sexes",19.18,15.29,23.29
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bolivia (Plurinational State of),2016,Male",21.4,17.38,25.76
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bolivia (Plurinational State of),2016,Female",16.94,13.27,20.89
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bosnia and Herzegovina,2016,Both sexes",76.16,53.7,101.9
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bosnia and Herzegovina,2016,Male",76.72,56.19,100.5
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bosnia and Herzegovina,2016,Female",75.6,50.25,103.1
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Botswana,2016,Both sexes",15.72,12,19.48
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Botswana,2016,Male",13.47,10.38,16.76
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Botswana,2016,Female",17.91,13.54,22.43
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Brazil,2016,Both sexes",11.75,8.96,14.77
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Brazil,2016,Male",13.8,10.79,17.19
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Brazil,2016,Female",9.76,7.17,12.51
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Brunei Darussalam,2016,Both sexes",4.9,3.35,6.57
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Brunei Darussalam,2016,Male",6.01,4.22,7.87
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Brunei Darussalam,2016,Female",3.73,2.42,5.19
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bulgaria,2016,Both sexes",78.99,54.2,121.7
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bulgaria,2016,Male",83.77,61.32,127.9
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bulgaria,2016,Female",74.46,47.54,118.3
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Burkina Faso,2016,Both sexes",20.73,18.35,23.22
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Burkina Faso,2016,Male",20,17.77,22.32
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Burkina Faso,2016,Female",21.47,18.82,24.12
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Burundi,2016,Both sexes",16.9,15.11,18.64
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Burundi,2016,Male",18.04,16.17,19.99
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Burundi,2016,Female",15.79,14.01,17.59
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Cabo Verde,2016,Both sexes",26.51,20.08,37.15
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Cabo Verde,2016,Male",24.74,18.87,34.04
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Cabo Verde,2016,Female",28.26,21.17,39.87
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Cambodia,2016,Both sexes",20.95,18.21,23.55
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Cambodia,2016,Male",22.69,19.8,25.63
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Cambodia,2016,Female",19.29,16.66,21.69
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Cameroon,2016,Both sexes",20.72,18.18,23.5
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Cameroon,2016,Male",22.8,20.05,25.84
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Cameroon,2016,Female",18.64,16.17,21.49
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Canada,2016,Both sexes",7.7,4.62,11.37
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Canada,2016,Male",9.02,5.76,12.66
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Canada,2016,Female",6.4,3.22,10.54
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Central African Republic,2016,Both sexes",25.66,22.89,28.48
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Central African Republic,2016,Male",25.81,23.11,28.55
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Central African Republic,2016,Female",25.51,22.33,28.49
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Chad,2016,Both sexes",24.13,21.64,26.7
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Chad,2016,Male",26.08,23.39,28.88
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Chad,2016,Female",22.18,19.71,24.63
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Chile,2016,Both sexes",11.62,8.72,15.37
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Chile,2016,Male",13.85,10.68,17.99
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Chile,2016,Female",9.43,6.61,12.95
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"China,2016,Both sexes",40.42,30.44,51.94
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"China,2016,Male",38.18,28.98,48.68
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"China,2016,Female",42.8,31.89,55.88
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Colombia,2016,Both sexes",16.87,12.88,21.18
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Colombia,2016,Male",19.97,15.61,24.65
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Colombia,2016,Female",13.85,10.13,17.81
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Comoros,2016,Both sexes",22.46,19.73,25.06
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Comoros,2016,Male",24.41,21.31,27.36
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Comoros,2016,Female",20.49,17.94,22.93
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Congo,2016,Both sexes",18.21,15.72,20.76
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Congo,2016,Male",16.28,14.05,18.58
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Congo,2016,Female",20.14,17.22,23.08
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Costa Rica,2016,Both sexes",13,9.61,16.59
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Costa Rica,2016,Male",15.72,11.96,19.7
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Costa Rica,2016,Female",10.27,7.12,13.5
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Côte d’Ivoire,2016,Both sexes",34.28,29.86,38.7
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Côte d’Ivoire,2016,Male",38.6,33.41,43.69
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Côte d’Ivoire,2016,Female",29.85,25.79,33.8
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Croatia,2016,Both sexes",44.02,29.22,64.08
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Croatia,2016,Male",43.24,30.73,59.85
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Croatia,2016,Female",44.75,27.01,68.06
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Cuba,2016,Both sexes",34.07,20.11,62.61
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Cuba,2016,Male",36.6,22.54,65.56
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Cuba,2016,Female",31.53,17.51,59.68
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Cyprus,2016,Both sexes",16.95,12.05,21.9
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Cyprus,2016,Male",20.74,15.58,25.82
Ischaemic heart disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Cyprus,2016,Female",13.16,8.36,18.4
