diseases,Indicator_data,CASE_ID,First Tooltip,range_low,range_high
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Afghanistan,2016,Both sexes",31.26,25.66,35.67
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Afghanistan,2016,Male",29.37,24.07,33.6
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Afghanistan,2016,Female",33.27,27.28,37.85
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Albania,2016,Both sexes",5.03,2.99,7.46
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Albania,2016,Male",5.54,3.28,8.24
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Albania,2016,Female",4.51,2.67,6.75
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Algeria,2016,Both sexes",6.99,4.66,12.97
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Algeria,2016,Male",6.71,4.49,12.37
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Algeria,2016,Female",7.28,4.82,13.76
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Angola,2016,Both sexes",44.5,36.1,52.17
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Angola,2016,Male",44.08,35.59,51.83
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Angola,2016,Female",44.9,36.54,52.5
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Antigua and Barbuda,2016,Both sexes",5.77,3.06,8.76
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Antigua and Barbuda,2016,Male",6.6,3.49,10.06
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Antigua and Barbuda,2016,Female",5.01,2.67,7.56
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Argentina,2016,Both sexes",10.14,4.28,17.73
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Argentina,2016,Male",9.54,4.01,16.73
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Argentina,2016,Female",10.71,4.6,18.7
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Armenia,2016,Both sexes",2.97,2.02,4.08
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Armenia,2016,Male",3.33,2.27,4.54
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Armenia,2016,Female",2.64,1.79,3.68
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Australia,2016,Both sexes",1.15,0.3,2.54
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Australia,2016,Male",1,0.26,2.21
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Australia,2016,Female",1.3,0.34,2.86
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Austria,2016,Both sexes",1.55,0.56,2.88
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Austria,2016,Male",1.45,0.52,2.69
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Austria,2016,Female",1.65,0.6,3.07
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Azerbaijan,2016,Both sexes",2.94,1.54,4.72
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Azerbaijan,2016,Male",3.06,1.59,4.88
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Azerbaijan,2016,Female",2.82,1.47,4.55
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahamas,2016,Both sexes",3.64,1.74,5.91
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahamas,2016,Male",3.67,1.75,5.96
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahamas,2016,Female",3.61,1.72,5.86
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahrain,2016,Both sexes",1.76,1.4,2.13
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahrain,2016,Male",1.66,1.32,2.01
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahrain,2016,Female",1.92,1.53,2.33
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Bangladesh,2016,Both sexes",13.19,10.99,14.89
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Bangladesh,2016,Male",13.77,11.44,15.61
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Bangladesh,2016,Female",12.59,10.57,14.16
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Barbados,2016,Both sexes",19.33,11.37,28.19
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Barbados,2016,Male",19.24,11.28,28.07
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Barbados,2016,Female",19.41,11.46,28.32
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Belarus,2016,Both sexes",1.67,0.86,2.63
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Belarus,2016,Male",2.55,1.32,4.02
Lower respiratory infections,Ambient and household air pollution attributable death rate (per 100 000 population),"Belarus,2016,Female",0.9,0.46,1.42
