diseases,Indicator_data,CASE_ID,First Tooltip,range_low,range_high
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Afghanistan,2016,Both sexes",6.97,5.33,8.39
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Afghanistan,2016,Male",6.79,4.13,8.97
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Afghanistan,2016,Female",7.17,5.71,8.35
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Albania,2016,Both sexes",6.86,3.84,10.65
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Albania,2016,Male",8.62,4.34,14.29
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Albania,2016,Female",5.07,2.82,7.83
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Algeria,2016,Both sexes",2.98,1.59,5.45
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Algeria,2016,Male",3.56,1.89,6.52
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Algeria,2016,Female",2.38,1.24,4.47
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Angola,2016,Both sexes",3.81,2.82,4.74
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Angola,2016,Male",3.26,1.79,4.58
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Angola,2016,Female",4.35,3.32,5.23
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Antigua and Barbuda,2016,Both sexes",2.47,1.21,3.9
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Antigua and Barbuda,2016,Male",2.87,1.41,4.57
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Antigua and Barbuda,2016,Female",2.1,1.06,3.31
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Argentina,2016,Both sexes",6.95,3.06,11.98
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Argentina,2016,Male",7.18,3.1,12.48
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Argentina,2016,Female",6.72,2.94,11.36
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Armenia,2016,Both sexes",8.89,5.07,13.45
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Armenia,2016,Male",10.09,5.62,15.29
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Armenia,2016,Female",7.83,4.43,11.96
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Australia,2016,Both sexes",3.18,0.97,6.27
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Australia,2016,Male",3.44,1.04,6.77
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Australia,2016,Female",2.93,0.89,5.77
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Austria,2016,Both sexes",5.43,2.13,9.61
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Austria,2016,Male",6.03,2.36,10.66
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Austria,2016,Female",4.86,1.91,8.61
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Azerbaijan,2016,Both sexes",3.33,1.55,5.36
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Azerbaijan,2016,Male",3.29,1.54,5.46
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Azerbaijan,2016,Female",3.37,1.61,5.58
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahamas,2016,Both sexes",1.05,0.48,1.76
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahamas,2016,Male",1.4,0.63,2.34
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahamas,2016,Female",0.72,0.32,1.2
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahrain,2016,Both sexes",1.49,0.95,2.1
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahrain,2016,Male",1.41,0.9,1.98
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bahrain,2016,Female",1.64,1.04,2.3
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bangladesh,2016,Both sexes",24.63,18.59,29.29
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bangladesh,2016,Male",27.19,16.86,35.01
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Bangladesh,2016,Female",22.02,18.14,25.05
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Barbados,2016,Both sexes",4,2.16,6.28
Chronic obstructive pulmonary disease,Ambient and household air pollution attributable death rate (per 100 000 population),"Barbados,2016,Male",5.09,2.73,8
