Indicator_data,case_id,First Tooltip
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Afghanistan,2018,Both sexes",0.21
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Afghanistan,2018,Male",0.36
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Afghanistan,2018,Female",0.055
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Afghanistan,2015,Both sexes",0.21
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Afghanistan,2015,Male",0.35
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Afghanistan,2015,Female",0.054
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Afghanistan,2010,Both sexes",0.21
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Afghanistan,2010,Male",0.36
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Afghanistan,2010,Female",0.054
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Albania,2018,Both sexes",7.17
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Albania,2018,Male",11.63
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Albania,2018,Female",2.68
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Albania,2015,Both sexes",6.74
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Albania,2015,Male",10.92
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Albania,2015,Female",2.53
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Albania,2010,Both sexes",7.69
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Albania,2010,Male",12.47
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Albania,2010,Female",2.98
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Albania,2005,Both sexes",7.65
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Albania,2005,Male",12.41
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Albania,2005,Female",2.96
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Albania,2000,Both sexes",6.57
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Albania,2000,Male",10.6
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Albania,2000,Female",2.5
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Algeria,2018,Both sexes",0.95
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Algeria,2018,Male",1.63
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Algeria,2018,Female",0.25
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Algeria,2015,Both sexes",0.93
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Algeria,2015,Male",1.61
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Algeria,2015,Female",0.25
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Algeria,2010,Both sexes",0.65
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Algeria,2010,Male",1.12
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Algeria,2010,Female",0.18
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Algeria,2005,Both sexes",0.81
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Algeria,2005,Male",1.39
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Algeria,2005,Female",0.22
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Algeria,2000,Both sexes",0.58
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Algeria,2000,Male",1
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Algeria,2000,Female",0.16
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Andorra,2018,Both sexes",11.02
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Andorra,2018,Male",17.17
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Andorra,2018,Female",5.19
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Andorra,2015,Both sexes",11.01
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Andorra,2015,Male",17.16
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Andorra,2015,Female",5.19
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Andorra,2010,Both sexes",11.11
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Andorra,2010,Male",17.13
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Andorra,2010,Female",5.3
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Andorra,2005,Both sexes",12.55
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Andorra,2005,Male",19.18
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Andorra,2005,Female",6.2
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Andorra,2000,Both sexes",13.28
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Andorra,2000,Male",20.35
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Andorra,2000,Female",6.57
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Angola,2018,Both sexes",6.94
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Angola,2018,Male",11.05
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Angola,2018,Female",3.1
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Angola,2015,Both sexes",7.96
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Angola,2015,Male",12.64
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Angola,2015,Female",3.58
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Angola,2010,Both sexes",8.16
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Angola,2010,Male",12.92
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Angola,2010,Female",3.69
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Angola,2005,Both sexes",4.89
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Angola,2005,Male",7.81
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Angola,2005,Female",2.15
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Angola,2000,Both sexes",2.76
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Angola,2000,Male",4.42
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Angola,2000,Female",1.2
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Antigua and Barbuda,2018,Both sexes",6.38
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Antigua and Barbuda,2018,Male",10.26
Total (recorded+unrecorded) alcohol per capita (15+) consumption,"Antigua and Barbuda,2018,Female",2.9
