Indicator_data,case_id,First Tooltip
Life expectancy at birth (years),"Afghanistan,2015,Both sexes",61.65
Life expectancy at birth (years),"Afghanistan,2015,Male",61.04
Life expectancy at birth (years),"Afghanistan,2015,Female",62.35
Life expectancy at birth (years),"Afghanistan,2010,Both sexes",59.94
Life expectancy at birth (years),"Afghanistan,2010,Male",59.6
Life expectancy at birth (years),"Afghanistan,2010,Female",60.3
Life expectancy at birth (years),"Afghanistan,2000,Both sexes",54.99
Life expectancy at birth (years),"Afghanistan,2000,Male",54.57
Life expectancy at birth (years),"Afghanistan,2000,Female",55.42
Life expectancy at birth (years),"Albania,2015,Both sexes",77.84
Life expectancy at birth (years),"Albania,2015,Male",76.1
Life expectancy at birth (years),"Albania,2015,Female",79.69
Life expectancy at birth (years),"Albania,2010,Both sexes",76.25
Life expectancy at birth (years),"Albania,2010,Male",74.23
Life expectancy at birth (years),"Albania,2010,Female",78.31
Life expectancy at birth (years),"Albania,2000,Both sexes",73.55
Life expectancy at birth (years),"Albania,2000,Male",70.65
Life expectancy at birth (years),"Albania,2000,Female",76.92
Life expectancy at birth (years),"Algeria,2015,Both sexes",76.54
Life expectancy at birth (years),"Algeria,2015,Male",75.65
Life expectancy at birth (years),"Algeria,2015,Female",77.5
Life expectancy at birth (years),"Algeria,2010,Both sexes",75.85
Life expectancy at birth (years),"Algeria,2010,Male",74.95
Life expectancy at birth (years),"Algeria,2010,Female",76.79
Life expectancy at birth (years),"Algeria,2000,Both sexes",72.21
Life expectancy at birth (years),"Algeria,2000,Male",70.94
Life expectancy at birth (years),"Algeria,2000,Female",73.54
Life expectancy at birth (years),"Angola,2015,Both sexes",61.72
Life expectancy at birth (years),"Angola,2015,Male",59.13
Life expectancy at birth (years),"Angola,2015,Female",64.5
Life expectancy at birth (years),"Angola,2010,Both sexes",58.07
Life expectancy at birth (years),"Angola,2010,Male",55.78
Life expectancy at birth (years),"Angola,2010,Female",60.53
Life expectancy at birth (years),"Angola,2000,Both sexes",49.3
Life expectancy at birth (years),"Angola,2000,Male",46.77
Life expectancy at birth (years),"Angola,2000,Female",52.12
Life expectancy at birth (years),"Antigua and Barbuda,2015,Both sexes",76.14
Life expectancy at birth (years),"Antigua and Barbuda,2015,Male",74.43
Life expectancy at birth (years),"Antigua and Barbuda,2015,Female",77.76
Life expectancy at birth (years),"Antigua and Barbuda,2010,Both sexes",75.95
Life expectancy at birth (years),"Antigua and Barbuda,2010,Male",73.56
